"Company 
(Maker-if known)","Specific Bean Origin
or Bar Name","Cocoa
Percent","Company
Location",Rating,"Bean
Type","Broad Bean
Origin"
A. Morin,Agua Grande,0.63,France,3.75, ,Sao Tome
A. Morin,Kpime,0.7,France,2.75, ,Togo
A. Morin,Atsane,0.7,France,3.0, ,Togo
A. Morin,Akata,0.7,France,3.5, ,Togo
A. Morin,Quilla,0.7,France,3.5, ,Peru
A. Morin,Carenero,0.7,France,2.75,Criollo,Venezuela
A. Morin,Cuba,0.7,France,3.5, ,Cuba
A. Morin,Sur del Lago,0.7,France,3.5,Criollo,Venezuela
A. Morin,Puerto Cabello,0.7,France,3.75,Criollo,Venezuela
A. Morin,Pablino,0.7,France,4.0, ,Peru
A. Morin,Panama,0.7,France,2.75, ,Panama
A. Morin,Madagascar,0.7,France,3.0,Criollo,Madagascar
A. Morin,Brazil,0.7,France,3.25, ,Brazil
A. Morin,Equateur,0.7,France,3.75, ,Ecuador
A. Morin,Colombie,0.7,France,2.75, ,Colombia
A. Morin,Birmanie,0.7,France,3.0, ,Burma
A. Morin,Papua New Guinea,0.7,France,3.25, ,Papua New Guinea
A. Morin,Chuao,0.7,France,4.0,Trinitario,Venezuela
A. Morin,Piura,0.7,France,3.25, ,Peru
A. Morin,Chanchamayo Province,0.7,France,3.5, ,Peru
A. Morin,Chanchamayo Province,0.63,France,4.0, ,Peru
A. Morin,Bolivia,0.7,France,3.5, ,Bolivia
A. Morin,Peru,0.63,France,3.75, ,Peru
Acalli,"Chulucanas, El Platanal",0.7,U.S.A.,3.75, ,Peru
Acalli,"Tumbes, Norandino",0.7,U.S.A.,3.75,Criollo,Peru
Adi,Vanua Levu,0.6,Fiji,2.75,Trinitario,Fiji
Adi,"Vanua Levu, Toto-A",0.8,Fiji,3.25,Trinitario,Fiji
Adi,Vanua Levu,0.88,Fiji,3.5,Trinitario,Fiji
Adi,"Vanua Levu, Ami-Ami-CA",0.72,Fiji,3.5,Trinitario,Fiji
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",0.55,Ecuador,2.75,Forastero (Arriba),Ecuador
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",0.7,Ecuador,3.0,Forastero (Arriba),Ecuador
Ah Cacao,Tabasco,0.7,Mexico,3.0,Criollo,Mexico
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",0.75,Switzerland,3.75,Trinitario,Indonesia
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",0.75,Switzerland,2.75,Criollo,Madagascar
Akesson's (Pralus),"Monte Alegre, D. Badero",0.75,Switzerland,2.75,Forastero,Brazil
Alain Ducasse,Trinite,0.65,France,2.75,Trinitario,Trinidad
Alain Ducasse,Vietnam,0.75,France,2.75,Trinitario,Vietnam
Alain Ducasse,Madagascar,0.75,France,3.0,Trinitario,Madagascar
Alain Ducasse,Chuao,0.75,France,2.5,Trinitario,Venezuela
Alain Ducasse,"Piura, Perou",0.75,France,2.5, ,Peru
Alexandre,"Winak Coop, Napo",0.7,Netherlands,3.5,Forastero (Nacional),Ecuador
Alexandre,"La Dalia, Matagalpa",0.7,Netherlands,3.5,"Criollo, Trinitario",Nicaragua
Alexandre,Tien Giang,0.7,Netherlands,3.5,Trinitario,Vietnam
Alexandre,"Makwale Village, Kyela",0.7,Netherlands,3.5,Forastero,Tanzania
Altus aka Cao Artisan,Momotombo,0.6,U.S.A.,2.75, ,Nicaragua
Altus aka Cao Artisan,Acopagro,0.6,U.S.A.,3.0, ,Peru
Altus aka Cao Artisan,CIAAB Coop,0.6,U.S.A.,2.5, ,Bolivia
Altus aka Cao Artisan,Villa Andina,0.6,U.S.A.,2.5, ,Peru
Altus aka Cao Artisan,Gruppo Salinas,0.6,U.S.A.,2.75, ,Ecuador
Altus aka Cao Artisan,Sur del Lago,0.6,U.S.A.,2.5, ,Venezuela
Altus aka Cao Artisan,Conacado,0.6,U.S.A.,3.0,Trinitario,Dominican Republic
Altus aka Cao Artisan,Bolivia,0.8,U.S.A.,3.25, ,Bolivia
Altus aka Cao Artisan,Bolivia,0.6,U.S.A.,3.0, ,Bolivia
Altus aka Cao Artisan,Peru,0.6,U.S.A.,3.25, ,Peru
Amano,Morobe,0.7,U.S.A.,4.0, ,Papua New Guinea
Amano,Dos Rios,0.7,U.S.A.,3.75, ,Dominican Republic
Amano,Guayas,0.7,U.S.A.,4.0, ,Ecuador
Amano,Chuao,0.7,U.S.A.,3.0,Trinitario,Venezuela
Amano,Montanya,0.7,U.S.A.,3.0, ,Venezuela
Amano,"Bali, Jembrana",0.7,U.S.A.,2.75, ,Indonesia
Amano,Madagascar,0.7,U.S.A.,3.5,Trinitario,Madagascar
Amano,Cuyagua,0.7,U.S.A.,3.0, ,Venezuela
Amano,Ocumare,0.7,U.S.A.,3.75,Criollo,Venezuela
Amatller (Simon Coll),Ghana,0.7,Spain,3.0,Forastero,Ghana
Amatller (Simon Coll),Ecuador,0.7,Spain,2.75, ,Ecuador
Amatller (Simon Coll),Ecuador,0.85,Spain,2.75, ,Ecuador
Amatller (Simon Coll),Ghana,0.85,Spain,3.0,Forastero,Ghana
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",0.72,Peru,3.25, ,Peru
Amazona,"Bellavista Gran Pajeten, San Martin",0.73,Peru,3.5,Trinitario,Peru
Ambrosia,Belize,0.64,Canada,3.0,Trinitario,Belize
Ambrosia,Madagascar,0.66,Canada,3.25,Trinitario,Madagascar
Ambrosia,Dominican Republic,0.75,Canada,3.25, ,Dominican Republic
Ambrosia,Papua New Guinea,0.63,Canada,3.25, ,Papua New Guinea
Ambrosia,Venezuela,0.7,Canada,3.25, ,Venezuela
Ambrosia,Peru,0.68,Canada,3.5, ,Peru
Amedei,"Piura, Blanco de Criollo",0.7,Italy,3.75, ,Peru
Amedei,Porcelana,0.7,Italy,4.0,Criollo (Porcelana),Venezuela
Amedei,Nine,0.75,Italy,4.0,Blend, 
Amedei,Chuao,0.7,Italy,5.0,Trinitario,Venezuela
Amedei,Ecuador,0.7,Italy,3.0,Trinitario,Ecuador
Amedei,Jamaica,0.7,Italy,3.0,Trinitario,Jamaica
Amedei,Grenada,0.7,Italy,3.5,Trinitario,Grenada
Amedei,Venezuela,0.7,Italy,3.75,Trinitario (85% Criollo),Venezuela
Amedei,Madagascar,0.7,Italy,4.0,Trinitario (85% Criollo),Madagascar
Amedei,Trinidad,0.7,Italy,3.5,Trinitario,Trinidad
Amedei,Toscano Black,0.63,Italy,3.5,Blend, 
Amedei,Toscano Black,0.7,Italy,5.0,Blend, 
Amedei,Toscano Black,0.66,Italy,4.0,Blend, 
AMMA,Catongo,0.75,Brazil,3.25,Forastero (Catongo),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",0.85,Brazil,2.75,Forastero (Parazinho),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",0.5,Brazil,3.75,Forastero (Parazinho),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",0.75,Brazil,3.75,Forastero (Parazinho),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",0.6,Brazil,4.0,Forastero (Parazinho),Brazil
Anahata,Elvesia,0.75,U.S.A.,3.0, ,Dominican Republic
Animas,Alto Beni,0.75,U.S.A.,3.5, ,Bolivia
Ara,Madagascar,0.75,France,3.0,Trinitario,Madagascar
Ara,Chiapas,0.72,France,2.5, ,Mexico
Ara,Equateur,0.75,France,2.75, ,Ecuador
Ara,Trincheras,0.75,France,3.0, ,Venezuela
Arete,San Juan,0.7,U.S.A.,3.5,Trinitario,Trinidad
Arete,Kokoa Kamili,0.7,U.S.A.,3.75, ,Tanzania
Arete,Tien Giang,0.73,U.S.A.,3.5,Trinitario,Vietnam
Arete,Hacienda Victoria,0.7,U.S.A.,3.25, ,Ecuador
Arete,Costa Esmeraldas,0.7,U.S.A.,3.25, ,Ecuador
Arete,Lachua,0.7,U.S.A.,3.5, ,Guatemala
Arete,Rugoso,0.7,U.S.A.,3.75, ,Nicaragua
Arete,"La Masica, FHIA",0.7,U.S.A.,3.5, ,Honduras
Arete,"Coto Brus, Terciopelo",0.7,U.S.A.,4.0, ,Costa Rica
Arete,Phantom,0.7,U.S.A.,4.0,Forastero (Nacional),Peru
Arete,Elvesia,0.7,U.S.A.,3.75, ,Dominican Republic
Arete,Matasawalevu,0.7,U.S.A.,3.25, ,Fiji
Arete,Lam Dong,0.73,U.S.A.,3.25, ,Vietnam
Arete,Fazenda Camboa,0.7,U.S.A.,3.5, ,Brazil
Arete,Nacional,0.68,U.S.A.,3.5,Forastero (Nacional),Peru
Arete,"Puerto Quito, heirloom",0.7,U.S.A.,3.75,Forastero (Nacional),Ecuador
Arete,Oko Caribe,0.7,U.S.A.,3.5, ,Domincan Republic
Arete,Maya Mountain,0.7,U.S.A.,3.75,Trinitario,Belize
Arete,Chuno,0.7,U.S.A.,4.0,"Criollo, Trinitario",Nicaragua
Arete,Fazenda Camboa,0.75,U.S.A.,2.75, ,Brazil
Arete,Guatemala,0.7,U.S.A.,3.25, ,Guatemala
Arete,Camino Verde,0.75,U.S.A.,3.5, ,Ecuador
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",0.72,U.K.,3.25,Trinitario,Trinidad
Artisan du Chocolat,"Colombia, Casa Luker",0.72,U.K.,3.75, ,Colombia
Artisan du Chocolat,Haiti,0.72,U.K.,4.0, ,Haiti
Artisan du Chocolat,Panama,0.72,U.K.,2.75, ,Panama
Artisan du Chocolat,Venezuela,1.0,U.K.,1.75, ,Venezuela
Artisan du Chocolat,Jamaica,0.72,U.K.,3.75,Trinitario,Jamaica
Artisan du Chocolat,Costa Rica,0.72,U.K.,3.25, ,Costa Rica
Artisan du Chocolat,Ba Ria Vung Tau Province,0.72,U.K.,3.25,Trinitario,Vietnam
Artisan du Chocolat,Bali,0.72,U.K.,3.5, ,Indonesia
Artisan du Chocolat,"Ocumare, Venezuela",0.75,U.K.,2.5,"Criollo, Trinitario",Venezuela
Artisan du Chocolat,Java,0.72,U.K.,2.75,Trinitario,Indonesia
Artisan du Chocolat,Brazil Rio Doce,0.72,U.K.,1.75, ,Brazil
Artisan du Chocolat,Madagascar,0.8,U.K.,3.0,"Criollo, Trinitario",Madagascar
Artisan du Chocolat,Peru,0.75,U.K.,3.0,Criollo,Peru
Artisan du Chocolat,Dominican Republic,0.72,U.K.,3.25,Trinitario,Dominican Republic
Artisan du Chocolat,Congo,0.72,U.K.,3.75,Forastero,Congo
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",0.72,U.K.,2.75,Trinitario,Colombia
Askinosie,Mababa,0.68,U.S.A.,3.75,Trinitario,Tanzania
Askinosie,"Tenende, Uwate",0.72,U.S.A.,3.75,Trinitario,Tanzania
