param_metric,param_n_neighbors,mean_test_score
chebyshev,3,0.7974957080258733
chebyshev,5,0.7958416220254054
chebyshev,7,0.7941479100476357
chebyshev,9,0.7927301840839898
chebyshev,11,0.7921001620632679
euclidean,3,0.804505636465701
euclidean,5,0.8041904277131833
euclidean,7,0.8017882249741209
euclidean,9,0.7994645297486015
euclidean,11,0.796235136672012
mahalanobis,7,0.8526310136782514
mahalanobis,9,0.8522767140154445
mahalanobis,11,0.8518040482239613
mahalanobis,5,0.8503469987121945
mahalanobis,3,0.8481809388813113
manhattan,3,0.8140361492824557
manhattan,7,0.8124216737501009
manhattan,5,0.8114763266579459
manhattan,9,0.8100586084488943
manhattan,11,0.809113478485382
